sp|Q15428|SF3A2_HUMAN	ENSP00000311221_233-283	30	0.0	0.0	0.0	0.0	0.02	0.06	0.1	0.17	0.28	0.33	0.41	0.52	0.64	0.7	0.77	0.83	0.87	0.88	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000311221_56-107	23	0.0	0.0	0.0	0.02	0.03	0.05	0.08	0.11	0.16	0.28	0.41	0.52	0.64	0.72	0.8	0.86	0.88	0.89	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000311221_233-283	32	0.0	0.0	0.0	0.01	0.02	0.07	0.12	0.18	0.23	0.32	0.42	0.52	0.66	0.75	0.81	0.86	0.88	0.89	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	4	0.0	0.0	0.0	0.0	0.01	0.03	0.08	0.13	0.22	0.32	0.49	0.6	0.67	0.72	0.79	0.83	0.86	0.87	0.88	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	13	0.0	0.0	0.0	0.01	0.03	0.08	0.13	0.22	0.29	0.39	0.47	0.55	0.62	0.71	0.78	0.82	0.84	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000359645_170-220	7	0.0	0.0	0.0	0.0	0.0	0.03	0.07	0.13	0.21	0.32	0.44	0.56	0.67	0.76	0.82	0.86	0.88	0.89	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000357215_8-58	13	0.0	0.0	0.0	0.0	0.04	0.08	0.11	0.17	0.25	0.35	0.44	0.53	0.61	0.69	0.76	0.81	0.85	0.88	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	29	0.0	0.0	0.0	0.01	0.02	0.04	0.09	0.16	0.27	0.38	0.51	0.64	0.71	0.78	0.82	0.83	0.86	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000337926_586-638	9	0.0	0.0	0.0	0.01	0.03	0.05	0.08	0.15	0.24	0.32	0.47	0.55	0.64	0.72	0.78	0.84	0.88	0.89	0.89	0.89	0.89	464	53
sp|Q15428|SF3A2_HUMAN	ENSP00000375863_3-54	28	0.0	0.0	0.0	0.0	0.01	0.02	0.04	0.11	0.19	0.3	0.42	0.58	0.67	0.76	0.8	0.83	0.86	0.89	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000354085_1701-1752	4	0.0	0.0	0.0	0.02	0.03	0.05	0.06	0.1	0.2	0.32	0.45	0.59	0.69	0.75	0.79	0.83	0.86	0.88	0.88	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	11	0.0	0.0	0.0	0.01	0.03	0.1	0.17	0.26	0.33	0.42	0.49	0.54	0.61	0.7	0.78	0.81	0.82	0.87	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000375863_3-54	1	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.11	0.2	0.29	0.4	0.53	0.69	0.79	0.86	0.87	0.89	0.89	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000311221_56-107	3	0.0	0.0	0.0	0.0	0.02	0.04	0.08	0.1	0.19	0.3	0.42	0.54	0.64	0.74	0.82	0.85	0.87	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000325376_30-81	9	0.0	0.0	0.0	0.01	0.03	0.05	0.1	0.16	0.25	0.34	0.46	0.58	0.63	0.7	0.76	0.8	0.83	0.85	0.88	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000375863_3-54	20	0.0	0.0	0.0	0.0	0.01	0.04	0.06	0.11	0.19	0.31	0.46	0.56	0.66	0.73	0.78	0.84	0.86	0.89	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	15	0.0	0.0	0.0	0.0	0.03	0.11	0.14	0.21	0.27	0.34	0.46	0.54	0.64	0.71	0.77	0.8	0.84	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000319104_1226-1282	10	0.0	0.0	0.0	0.02	0.05	0.11	0.17	0.25	0.33	0.4	0.49	0.54	0.59	0.67	0.73	0.79	0.84	0.87	0.87	0.88	0.88	464	57
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	20	0.0	0.0	0.0	0.0	0.02	0.04	0.08	0.16	0.25	0.37	0.49	0.58	0.69	0.77	0.81	0.84	0.87	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000325376_30-81	28	0.0	0.0	0.0	0.01	0.02	0.05	0.1	0.17	0.25	0.33	0.46	0.57	0.66	0.75	0.83	0.86	0.87	0.89	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000380414_141-191	8	0.0	0.0	0.0	0.0	0.01	0.03	0.07	0.11	0.2	0.31	0.43	0.56	0.65	0.72	0.78	0.81	0.84	0.87	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000236980_636-692	19	0.0	0.0	0.0	0.01	0.06	0.11	0.17	0.23	0.3	0.37	0.45	0.51	0.57	0.65	0.78	0.84	0.88	0.88	0.88	0.88	0.88	464	57
sp|Q15428|SF3A2_HUMAN	ENSP00000437886_261-336	17	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.17	0.36	0.47	0.55	0.61	0.69	0.74	0.8	0.81	0.83	0.84	0.84	0.84	464	76
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	19	0.0	0.0	0.0	0.02	0.03	0.07	0.14	0.21	0.29	0.37	0.46	0.54	0.64	0.74	0.78	0.82	0.84	0.87	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000319104_1226-1282	19	0.0	0.0	0.0	0.02	0.05	0.1	0.16	0.25	0.33	0.38	0.45	0.52	0.59	0.66	0.75	0.81	0.86	0.87	0.88	0.88	0.88	464	57
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	18	0.0	0.0	0.0	0.0	0.02	0.09	0.14	0.23	0.29	0.38	0.47	0.55	0.62	0.72	0.78	0.81	0.84	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000433403_179-228	11	0.0	0.0	0.0	0.0	0.02	0.06	0.16	0.25	0.33	0.42	0.49	0.57	0.64	0.71	0.76	0.81	0.86	0.88	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000433403_179-228	15	0.0	0.0	0.0	0.01	0.02	0.06	0.13	0.2	0.27	0.36	0.46	0.56	0.65	0.7	0.78	0.83	0.86	0.88	0.89	0.89	0.89	464	51
sp|Q15428|SF3A2_HUMAN	ENSP00000264669_408-478	17	0.0	0.0	0.0	0.0	0.0	0.01	0.03	0.1	0.2	0.35	0.5	0.6	0.66	0.71	0.75	0.79	0.82	0.84	0.84	0.85	0.85	464	71
sp|Q15428|SF3A2_HUMAN	ENSP00000429173_25-76	12	0.0	0.0	0.0	0.0	0.02	0.09	0.14	0.23	0.29	0.38	0.47	0.55	0.62	0.72	0.78	0.81	0.84	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000375836_586-637	4	0.0	0.0	0.0	0.0	0.01	0.02	0.07	0.14	0.18	0.28	0.43	0.58	0.71	0.77	0.82	0.85	0.86	0.88	0.89	0.89	0.89	464	52
sp|Q15428|SF3A2_HUMAN	ENSP00000307633_260-311	9	0.0	0.0	0.0	0.03	0.05	0.07	0.12	0.19	0.26	0.32	0.38	0.51	0.64	0.75	0.8	0.82	0.84	0.88	0.89	0.89	0.89	464	52
